ObjectType,ObjectName,Description,Utilization,ParametersJson,OutputNotes,ReferencedObjectsJson,IRI,CodeColumn,Code,AccessBitmap
Column,ModelEvents.Skew,Database Column named ModelEvents.Skew. Many distibutions between events will be skewed. I think skewed left would be more common since i think things could take longer but can only be so fast (like zero seconds).,,,,,,,,
,,,,,,,,,,
It actually requires yet another pass AFTER getting StDev (it needs StDev).,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,,
Column,SourceColumns.AccessBitmap,"Database Column named SourceColumns.AccessBitmap. Source columns are related to Event-level and case-level properties, which might be sensitive.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,SourceColumns.ColumnName,"Database Column named SourceColumns.ColumnName. ColumnName should be 50 because that's the length I have for the ""Name"" of the table rows. See the get_semantic_web_llm_values sproc.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,SourceColumns.DataType,Database Column named SourceColumns.DataType. Leave this column NULL since we may not know the data type initially. Try to use SQL Server data types since this is a SQL Server database.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,SourceColumns.Description,Database Column named SourceColumns.Description. Description of what the column is semantically about. This can be used to figure out an IRI RDF class that matches the meaning of this column.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,SourceColumns.IRI,Database Column named SourceColumns.IRI. The IRI (Internation Resource Identifier) is the gateway to a knowledge graph.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,SourceColumns.IsOrdinal,"Database Column named SourceColumns.IsOrdinal. Is this column ordinal (1) or discrete (0)? The column can be used to correlate changes in Markov models across values of this column. If the column is continuous, it's considered ordinal.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,SourceColumns.ObserverID,"Database Column named SourceColumns.ObserverID. A data source stores data observed by an observer. however, a data source might consist of multiple observers-like a person has multiple senses or a car has multiple devices emitting events.",,,,,,,,
,,,,,,,,,,
AI agents could be an observer.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,,
Column,Sources.DefaultObserverID,"Database Column named Sources.DefaultObserverID. A data source stores data observed by an observer. however, a data source might consist of multiple observers-like a person has multiple senses or a car has multiple devices emitting events.",,,,,,,,
,,,,,,,,,,
This is the default observer.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,,
Column,Sources.DefaultTableName,"Database Column named Sources.DefaultTableName. It's possible the source is ""one big table"" or a CSV. In this case, it helps to have the name of the table as a default.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,Sources.PropertiesJSONFullyQualifiedColumnName,"Database Column named Sources.PropertiesJSONFullyQualifiedColumnName. Name of source fully qualified column name (schema,table.column) containing JSON of case-level properties.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,Sources.TargetJSONFullyQualifiedColumnName,"Database Column named Sources.TargetJSONFullyQualifiedColumnName. Name of source fully qualified column name (schema,table.column) containing JSON of case-level properties.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,CasePropertiesMDM.MDMComparisonTypeID,Database Column named CasePropertiesMDM.MDMComparisonTypeID. See MDMComparisonType table.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,CasePropertiesMDM.MDMVersionID,"Database Column named CasePropertiesMDM.MDMVersionID. There can be many ""MDM"" mappings. This MDMVersionID allows for multiple mappings. The -1 default is the default mapping that will be transformed at the time CasePropertiesParsed is created.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,ModelSimilarity.PercentSameSegments,Database Column named ModelSimilarity.PercentSameSegments. Percentage of EventA->EventB segments that are shared.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,EventProperties.ActualProperties,Database Column named EventProperties.ActualProperties. Metric inputs - key/value pairs of metrics as inputs into a node.,,,,,,,,
,,,,,,,,,,
The idea behind InputProperties and OutputProperties is that something happens between entering the state and exiting. Things can also happen between exiting a state and entering another one.,,,,,,,,,,
,,,,,,,,,,
"See the table Metrics and the scalar function, MetricValue.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,,
Column,EventProperties.AggregationProperties,"Database Column named EventProperties.AggregationProperties. If an Event is an aggregation, these are the properties of the aggregation. Examples of keys would be the aggregator's name, each descriptive statistic of the aggregation.",,,,,,,,
,,,,,,,,,,
